Asin,Title,Brand,battery WH,motor watts,WHEEL SIZE,Fat Tire,SPEED GEAR,Foldable,external,top speed,Price,Total Reviews,Throttle,disc breaks,Absorbing fork,Charge time,Weight,Days,Rating
B08FNSQJS7,"XPRIT Folding Electric Bike, Light Weight, LCD Display, Full Throttle/Pedal Assist",XPRIT,360,250,14,0,1,1,1,15.5,599.95,138,15,1,1,6,40,#N/A,4
B09KG3FPCR,"Heybike Ranger Electric Bike for Adults Foldable 20"" x 4.0 Fat Tire Step-Thru Electric Bicycle with 500W Motor, 48V 15AH R...",Heybike,720,500,20,1,7,1,1,23,1399.99,92,40,1,1,6,70,27-Oct-21,4.8
B08Y71ZN53,"Electric Mountain Bikes for Adults 27.5'' Electric Bicycle, Hydraulic Brakes, 500W Ebike with13ah Removable Lithium Batter...",Electric,624,500,27.5,0,9,0,1,25,1499,148,40,1,1,6,65,9-Mar-21,4.2
B09F3PSHSN,"Electric Bike, TotGuard 27.5"" Electric Bike for Adults 500W Ebike 21.6MPH Adult Electric Bicycles Electric Mountain Bike,4...",TotGuard,480,500,27.5,0,21,0,1,21.6,809.99,183,38,1,1,5,56,31-Aug-21,4.1
B09KN2TP95,"Electric Bike, Electric Bike for Adults 27.5'' E-Bikes with 500W Motor, 21.6MPH Mountain Bike with Lockable Suspension For...",Wooken,480,500,27.5,0,21,0,1,21.6,809.99,78,38,1,1,5,49.6,6-Jan-22,4.2
B096VTPRJY,"Heybike Mars Electric Bike Foldable 20"" x 4.0 Fat Tire Electric Bicycle with 500W Motor, 48V 12.5AH Removable Battery, Shi...",Heybike,600,500,20,1,7,1,1,20,1099.99,522,37,1,1,5.2,66,83,4.5
B097DMCYD8,VELOWAVE Electric Bike Adults 750W BAFANG Motor 48V 15Ah Removable Larger Battery 26'' Fat Tire Ebike 28MPH Snow Beach Mou...,VELOWAVE,720,750,26,1,7,0,0,28,1699,361,35,1,1,6,75,19-Jun-21,4.6
B09J87HLQ8,"ANCHEER 26"" Aluminum Electric Bike, Adults Step Through Electric Commuting Bicycle with Removable 12.5Ah Battery, Professi...",ANCHEER,450,250,26,0,6,0,1,16,629.99,383,35,1,1,6,59,12-Oct-21,4.3
B0B1TZ3DNV,"Sponsored Ad - eAhora 500W BAFANG Motor Electric Mountain Bike, 27Mph Adult Electric Bikes with Dual Suspension, Hydraulic...",eAhora,672,500,26,1,9,0,0,25,1599.99,72,35,1,1,6,65,20-May-22,4.3
B097DLRQWN,VELOWAVE Electric Mountain Bike Adults 500W 27.5'' Ebike 25MPH E Bike 48V 13Ah/15Ah Larger Battery Removable Shimano 7-Speed,VELOWAVE,624,500,27.5,0,7,0,1,20,1349,112,35,1,1,5,54.929,74,4.3
