Brand,Product,Price,battery WH,motor watts,WHEEL SIZE,Fat Tire,SPEED GEAR,Foldable,external,Range,disc breaks,Absorbing fork,Charge time,Weight,url
Letric,XPremium Black,1799,499.2,500,20,1,7,1,1,100,1,1,5,75,https://lectricebikes.com/collections/ebikes/products/xpremium-black
Letric,XPremium White,1799,499.2,500,20,1,7,1,1,100,1,1,5,75,https://lectricebikes.com/products/xpremium-white
Letric,XP Lite Arctic White,799,374.4,300,20,0,1,1,0,40,1,0,5,46,https://lectricebikes.com/products/xp-lite-arctic-white
Letric,XP Lite Midnight Black,799,374.4,300,20,0,1,1,0,40,1,0,5,46,https://lectricebikes.com/products/xp-lite-midnight-black
Letric,XP Lite Sandstorm,799,374.4,300,20,0,1,1,0,40,1,0,5,46,https://lectricebikes.com/products/xp-lite-sandstorm
Letric,XP Lite Lectric Blue,799,374.4,300,20,0,1,1,0,40,1,0,5,46,https://lectricebikes.com/collections/ebikes/products/xp-lite-lectric-blue
Letric,XP Step-Thru 2.0 White,999,460.8,500,20,0,7,1,0,45,1,1,5,64,https://lectricebikes.com/collections/ebikes/products/xp-step-thru-white
Letric,XP Step-Thru 2.0 Black,999,460.8,500,20,0,7,1,0,45,1,1,5,64,https://lectricebikes.com/products/xp-step-thru-black
Letric,XP 2.0 Black,999,460.8,500,20,0,7,1,0,45,1,1,5,64,https://lectricebikes.com/collections/ebikes/products/xp-black
Letric,XP 2.0 Black Long-Range,1199,672,500,20,0,7,1,0,65,1,1,5,64,https://lectricebikes.com/products/xp-2-0-black-long-range
Letric,XP Step-Thru 2.0 White Long-Range,1199,672,500,20,0,7,1,0,65,1,1,5,64,https://lectricebikes.com/collections/ebikes/products/xp-step-thru-2-0-white-long-range
Letric,XP Step-Thru 2.0 Black Long-Range,1199,672,500,20,0,7,1,0,65,1,1,5,64,https://lectricebikes.com/products/xp-step-thru-2-0-black-long-range
Aventon,aventon-pace-500-complete-bike-v1,1699,556.8,500,27.5,0,8,0,1,40,1,0,3.5,49,https://www.aventon.com/products/aventon-pace-500-complete-bike-v1
Aventon,aventon-pace-350-step-through-e-bike-v1,,417.6,350,27.5,0,7,0,1,40,1,0,3.5,46,https://www.aventon.com/products/aventon-pace-350-step-through-e-bike-v1
Aventon,aventure-ebike,1999,720,750,26,1,8,0,0,45,1,1,4.5,73,https://www.aventon.com/products/aventure-ebike#
Aventon,aventure-step-through-ebike,1999,720,750,26,1,8,0,0,45,1,1,4.5,73,https://www.aventon.com/products/aventure-step-through-ebike
Aventon,aventon-level-step-through-commuter-ebike,1799,672,500,27.5,0,8,0,0,40,1,1,4.5,62,https://www.aventon.com/products/aventon-level-step-through-commuter-ebike#
Aventon,aventon-level-commuter-ebike,1799,672,500,27.5,0,8,0,0,40,1,1,4.5,62,https://www.aventon.com/products/aventon-level-commuter-ebike
Aventon,soltera-ebike,1299,345.6,350,26.75,0,1,0,0,41,0,0,4.5,41,https://www.aventon.com/products/soltera-ebike#
Aventon,soltera-step-through-ebike,1399,345.6,350,26.75,0,1,0,0,41,0,0,4.5,41,https://www.aventon.com/products/soltera-step-through-ebike#
Aventon,aventon-pace-500-complete-bike,1699,614,500,27.5,0,8,0,0,48,1,0,4.5,52,https://www.aventon.com/products/aventon-pace-500-complete-bike#
Aventon,pace-350-ebike,1399,417.6,350,27.5,0,7,0,0,40,1,0,4.5,49,https://www.aventon.com/products/pace-350-ebike#
Aventon,aventon-pace-350-step-through-e-bike,1399,417.6,350,27.5,0,7,0,0,40,1,0,4.5,49,https://www.aventon.com/products/aventon-pace-350-step-through-e-bike#
Aventon,sinch-foldable-step-through-ebike,1799,672,500,20,1,7,1,0,40,1,0,4.5,68,https://www.aventon.com/products/sinch-foldable-step-through-ebike#
Aventon,aventon-sinch-foldable-electric-bike,1799,672,500,20,1,7,1,0,40,1,0,4.5,68,https://www.aventon.com/products/aventon-sinch-foldable-electric-bike#
Aventon,aventon-pace-500-step-through-complete-bike,1699,614,500,27.5,0,8,0,0,48,1,0,4.5,52,https://www.aventon.com/products/aventon-pace-500-step-through-complete-bike
Radpowerbikes,RadRover 6 Plus High Step,1599,672,750,26,1,7,0,1,45,1,1,7,73.4,https://www.radpowerbikes.com/collections/electric-bikes/products/radrover-plus-electric-fat-tire-bike?variant=39465952706656
Radpowerbikes,RadRover 6 Plus Step-Thru,1599,672,750,26,1,7,0,1,45,1,1,7,73.4,https://www.radpowerbikes.com/collections/electric-bikes/products/radrover-plus-electric-fat-tire-bike?variant=39336003862624
Radpowerbikes,RadRunner 2,1299,672,750,20,0,1,0,1,45,1,0,7,65,https://www.radpowerbikes.com/collections/electric-bikes/products/radrunner-electric-utility-bike
Radpowerbikes,RadExpand 5,1599,672,750,20,1,7,1,1,45,1,0,7,59,https://www.radpowerbikes.com/collections/electric-bikes/products/radexpand-electric-folding-bike
Radpowerbikes,RadRunner Plus,1699,672,750,20,0,7,0,1,45,1,1,7,77,https://www.radpowerbikes.com/collections/electric-bikes/products/radrunner-plus-electric-utility-bike
Radpowerbikes,RadCity 5 Plus High-Step,1999,672,750,27.5,0,7,0,1,50,1,1,7,65,https://www.radpowerbikes.com/collections/electric-bikes/products/radcity-plus-electric-commuter-bike?variant=39465955688544
Radpowerbikes,RadCity 5 Plus Step-Thru,1999,672,750,27.5,0,7,0,1,50,1,1,7,65,https://www.radpowerbikes.com/collections/electric-bikes/products/radcity-plus-electric-commuter-bike?variant=39467024875616
Radpowerbikes,RadWagon 4,1999,672,750,22,0,7,0,1,45,1,0,7,76.7,https://www.radpowerbikes.com/collections/electric-bikes/products/radwagon-electric-cargo-bike
Radpowerbikes,RadMission High-Step,999,504,500,27.5,0,1,0,1,45,1,0,5.25,48,https://www.radpowerbikes.com/collections/electric-bikes/products/radmission-electric-city-bike?variant=32397507133536
Radpowerbikes,RadMission Mid-Step,999,504,500,27.5,0,1,0,1,45,1,0,5.25,48,https://www.radpowerbikes.com/collections/electric-bikes/products/radmission-electric-city-bike?variant=39465961029728
Radpowerbikes,RadCity 4 High-Step,1399,672,750,26,0,7,0,1,45,1,1,7,65,https://www.radpowerbikes.com/collections/electric-bikes/products/radcity-electric-commuter-bike
Radpowerbikes,RadCity 3 Step-Thru,1399,672,750,26,0,7,0,1,45,1,1,7,65,https://www.radpowerbikes.com/collections/electric-bikes/products/radcity-step-thru-electric-commuter-bike
Chargebike,City Electric Bike,1799,418,250,28,0,7,0,1,50,1,0,5.8,45,https://www.chargebikes.com/products/city-electric-bike?variant=39284474118234
Chargebike,City Electric Bike,1799,418,250,28,0,7,0,1,50,1,0,5.8,45,https://www.chargebikes.com/products/city-electric-bike?variant=39269986467930
Chargebike,Comfort Electric Bike,1899,418,250,28,0,7,0,1,50,1,1,5.8,51,https://www.chargebikes.com/products/comfort-electric-bike
Chargebike,XC Electric Bike,2699,504,250,29,1,8,0,0,50,1,1,7,55,https://www.chargebikes.com/products/xc-electric-bike
Vanmoof,S5,2998,487,250,27.5,0,8,0,0,37,1,0,6.5,50.7,https://www.vanmoof.com/en-US/s5
Vanmoof,A5,2998,463,250,27.5,0,8,0,0,34,1,0,6.5,48.5,https://www.vanmoof.com/en-US/a5'
Vanmoof,X3,2448,504,250,24,0,4,0,0,37,1,0,4,45.8,https://www.vanmoof.com/en-US/x3?color=dark
Vanmoof,S3,2448,504,250,28,0,4,0,0,37,1,0,4,46.3,https://www.vanmoof.com/en-US/s3?color=dark
Gazelle,gazelle-ultimate-c380,4249,500,650,28,0,20,0,0,70,1,1,5,54.6,https://www.gazellebikes.com/en-us/gazelle-ultimate-c380-hmb#pim_itemcolorcodeonergb=173%2C210%2C201&pim_itemgenderframe=low-step&color=color-light-olive
Gazelle,gazelle-ultimate-c380plus,4749,500,850,28,0,20,0,0,55,1,1,5,55.6,https://www.gazellebikes.com/en-us/gazelle-ultimate-c380plus-hmb#pim_itemcolorcodeonergb=128%2C137%2C145&pim_itemgenderframe=Mid-step&color=color-industry-grey
Gazelle,gazelle-ultimate-t10plus,4199,500,850,28,0,10,0,0,55,1,1,5,51.1,https://www.gazellebikes.com/en-us/gazelle-ultimate-t10plus-hmb#pim_itemcolorcodeonergb=237%2C9%2C9&pim_itemgenderframe=High-step&color=color-champion-red
Gazelle,gazelle-ultimate-c8,3749,500,500,28,0,8,0,0,70,1,1,5,53.8,https://www.gazellebikes.com/en-us/gazelle-ultimate-c8-hmb#pim_itemcolorcodeonergb=88%2C132%2C128&pim_itemgenderframe=low-step&color=color-petrol-blue
Gazelle,gazelle-medeo-t10plus,3699,500,850,28,0,10,0,0,55,1,1,5,50.9,https://www.gazellebikes.com/en-us/gazelle-medeo-t10plus-hmb#pim_itemcolorcodeonergb=88%2C132%2C128&pim_itemgenderframe=Mid-step&color=color-petrol-blue
Gazelle,gazelle-arroyo-c7,3299,500,500,28,0,7,0,0,70,1,1,5,50.9,https://www.gazellebikes.com/en-us/gazelle-arroyo-c7-hmb-elite#pim_itemcolorcodeonergb=224%2C253%2C255&pim_itemgenderframe=low-step&color=color-frozen-white
Gazelle,gazelle-medeo-t9-city,2399,400,400,28,0,9,0,1,65,1,1,5,47.2,https://www.gazellebikes.com/en-us/gazelle-medeo-t9-city-hmb#pim_itemcolorcodeonergb=173%2C210%2C201&pim_itemgenderframe=low-step&color=color-light-olive
Gazelle,gazelle-medeo-t10,3199,500,650,28,0,10,0,0,70,1,1,5,49.6,https://www.gazellebikes.com/en-us/gazelle-medeo-t10-hmb#pim_itemcolorcodeonergb=98%2C181%2C196&pim_itemgenderframe=Mid-step&color=color-denim-blue
Gazelle,gazelle-arroyo-c8,3699,500,500,28,0,8,0,0,70,1,1,5,51.6,https://www.gazellebikes.com/en-us/gazelle-arroyo-c8-hmb-elite#pim_itemcolorcodeonergb=75%2C+79%2C+84&pim_itemgenderframe=low-step&color=color-cloud-grey
Gazelle,gazelle-ultimate-t10,3999,500,650,28,0,10,0,0,70,1,1,5,50.7,https://www.gazellebikes.com/en-us/gazelle-ultimate-t10-hmb#pim_itemcolorcodeonergb=237%2C9%2C9&pim_itemgenderframe=low-step&color=color-champion-red
Gazelle,gazelle-medeo-t9,2699,400,500,28,0,9,0,1,60,1,1,5,48.1,https://www.gazellebikes.com/en-us/gazelle-medeo-t9-hmb#pim_itemcolorcodeonergb=237%2C9%2C9&pim_itemgenderframe=low-step&color=color-champion-red
Biktrix,hub-duo-step-over-750w-hub-drive,2399,910,750,26,1,9,0,0,45,1,1,4.375,63.7,https://www.biktrix.com/products/hub-duo-step-over-750w-hub-drive
Biktrix,hub-duo-step-thru-750w-hub-drive,2399,910,750,26,1,9,0,0,45,1,1,4.375,63.7,https://www.biktrix.com/products/hub-duo-step-thru-750w-hub-drive
